survey	Expect	Entertain	Comm	Expert	Motivate	Caring	Charisma	Passion	Friendly
1	2	8	1	4	7	5	4	4	8
2	4	8	5	3	7	7	7	6	6
3	2	8	2	3	6	7	1	3	7
4	4	8	4	2	8	7	7	5	7
5	3	8	5	4	8	8	7	6	7
6	4	7	3	3	6	6	1	4	7
7	4	8	4	2	6	4	5	4	7
8	4	8	3	3	7	5	4	4	7
9	2	8	2	2	7	6	1	4	7
10	4	8	3	4	8	7	4	4	8
11	3	10	5	4	7	8	7	6	8
12	1	9	2	5	9	7	5	6	9
13	5	7	2	3	6	4	2	3	6
14	3	7	3	4	6	7	1	3	7
15	2	9	6	4	6	3	8	5	7
16	7	7	2	7	6	5	1	4	7
17	2	8	3	2	6	7	4	5	7
18	4	8	4	2	7	8	4	5	7
19	2	8	2	3	5	4	6	4	9
20	3	8	6	4	9	9	8	5	7
21	5	9	3	5	6	3	3	6	8
22	5	8	5	3	6	4	4	3	7
23	4	9	4	3	7	7	7	5	7
24	4	8	3	4	6	5	7	4	8
25	2	8	2	5	6	8	4	5	8
26	4	8	6	5	8	7	9	6	7
27	2	8	3	3	7	5	5	5	7
28	2	8	1	5	6	8	7	4	8
29	5	8	3	4	7	7	1	5	7
30	2	8	2	4	6	5	5	5	8
31	6	8	3	1	6	8	4	4	6
32	2	8	1	3	7	7	4	6	7
33	4	8	2	4	6	6	1	4	6
34	3	9	6	3	6	5	9	5	8
35	2	8	2	3	8	9	3	5	7
36	2	8	2	3	6	5	3	5	7
37	2	8	4	2	7	7	5	5	7
38	5	8	5	4	7	7	7	4	7
39	1	8	3	2	7	8	4	5	8
40	6	8	3	3	4	6	5	5	7
41	4	8	3	3	9	6	4	4	7
42	4	8	2	3	8	5	5	5	7
43	3	9	7	4	8	6	10	6	8
44	2	9	3	4	8	8	6	7	8
45	5	8	1	4	7	7	1	4	8
46	5	8	2	3	6	7	4	4	8
47	3	8	1	3	5	5	1	5	7
48	4	9	6	3	6	4	8	5	8
49	3	9	4	2	7	7	2	3	8
50	3	8	3	4	7	7	5	4	8
51	3	7	1	4	6	4	1	6	7
52	1	8	3	4	6	3	5	4	8
53	4	8	6	3	7	7	8	6	7
54	3	8	4	3	5	8	1	3	7
55	2	9	5	2	8	4	5	6	8
56	4	8	2	3	7	4	4	4	7
57	4	9	1	4	7	7	1	4	8
58	4	8	3	3	7	6	3	4	7
59	5	8	3	4	8	6	5	5	7
60	7	8	4	4	7	7	6	6	7
61	4	8	3	3	7	5	6	3	7
62	4	8	4	4	8	5	7	4	7
63	3	9	4	3	8	6	4	5	8
64	5	8	2	3	6	4	6	4	7
65	7	9	7	4	8	6	10	6	7
66	3	8	1	3	7	6	5	5	7
67	4	8	5	4	7	6	9	6	7
68	5	8	2	3	5	7	1	5	7
69	4	8	6	4	8	8	9	6	7
70	3	8	3	4	6	4	5	5	8
71	6	8	5	4	7	5	6	4	7
72	4	8	4	4	7	7	6	4	7
73	4	7	3	3	6	5	5	4	7
74	4	8	5	4	7	8	8	5	7
75	3	8	2	4	6	5	5	5	8
76	4	8	3	1	6	4	1	4	7
77	4	9	6	5	8	5	9	5	8
78	2	9	5	2	6	7	8	5	8
79	4	7	2	1	6	3	1	2	7
80	5	8	4	3	7	5	4	5	7
81	4	8	5	4	7	6	8	4	7
82	4	8	3	4	7	6	3	7	8
83	5	8	3	3	7	6	1	4	7
84	2	9	6	4	8	6	8	5	8
85	5	8	4	4	7	6	5	5	7
86	4	8	7	5	7	6	9	6	7
87	5	7	2	3	5	5	1	3	7
88	3	8	3	2	6	6	1	5	7
89	2	8	4	2	7	6	5	6	7
90	3	8	2	4	8	7	3	5	8
91	5	8	3	2	5	5	5	4	7
92	3	8	2	4	6	6	7	4	7
93	3	8	2	2	7	8	1	4	7
94	3	8	2	2	6	4	4	5	7
95	4	8	3	3	5	5	1	4	8
96	5	8	2	3	7	6	5	4	7
97	4	9	2	3	7	7	6	6	6
98	4	8	3	3	6	6	5	5	7
99	3	8	3	3	7	5	3	5	7
100	2	8	3	2	8	8	5	4	7
101	5	8	1	3	6	6	4	5	7
102	6	8	3	3	6	5	4	4	7
103	5	7	3	3	7	6	6	4	7
104	4	8	3	5	6	7	2	6	6
105	3	9	3	2	6	6	5	4	8
106	4	8	5	4	7	6	7	5	8
107	5	9	7	2	5	6	8	6	8
108	5	8	2	4	6	7	3	4	7
109	4	9	4	3	7	6	4	4	8
110	4	9	5	3	8	6	8	5	7
111	4	9	2	3	7	6	4	5	8
112	4	8	6	5	7	7	8	6	8
113	3	9	8	6	8	7	10	6	7
114	2	9	7	4	6	6	9	5	7
115	4	8	2	3	7	6	3	5	7
116	5	8	5	4	6	7	8	6	7
117	4	10	6	3	6	8	8	5	8
118	5	9	5	5	8	3	8	5	7
119	3	8	2	4	7	4	1	6	8
120	5	8	1	5	5	6	1	3	8
