sepal_length	sepal_width	petal_length	petal_width	species	avg_size
5.1	3.5	1.4	0.2	setosa	18.13
4.9	3	1.4	0.2	setosa	14.98
4.7	3.2	1.3	0.2	setosa	15.3
4.6	3.1	1.5	0.2	setosa	14.56
5	3.6	1.4	0.2	setosa	18.28
5.4	3.9	1.7	0.4	setosa	21.74
4.6	3.4	1.4	0.3	setosa	16.06
5	3.4	1.5	0.2	setosa	17.3
4.4	2.9	1.4	0.2	setosa	13.04
4.9	3.1	1.5	0.1	setosa	15.34
5.4	3.7	1.5	0.2	setosa	20.28
4.8	3.4	1.6	0.2	setosa	16.64
4.8	3	1.4	0.1	setosa	14.54
4.3	3	1.1	0.1	setosa	13.01
5.8	4	1.2	0.2	setosa	23.44
5.7	4.4	1.5	0.4	setosa	25.68
5.4	3.9	1.3	0.4	setosa	21.58
5.1	3.5	1.4	0.3	setosa	18.27
5.7	3.8	1.7	0.3	setosa	22.17
5.1	3.8	1.5	0.3	setosa	19.83
5.4	3.4	1.7	0.2	setosa	18.7
5.1	3.7	1.5	0.4	setosa	19.47
4.6	3.6	1	0.2	setosa	16.76
5.1	3.3	1.7	0.5	setosa	17.68
4.8	3.4	1.9	0.2	setosa	16.7
5	3	1.6	0.2	setosa	15.32
5	3.4	1.6	0.4	setosa	17.64
5.2	3.5	1.5	0.2	setosa	18.5
5.2	3.4	1.4	0.2	setosa	17.96
4.7	3.2	1.6	0.2	setosa	15.36
4.8	3.1	1.6	0.2	setosa	15.2
5.4	3.4	1.5	0.4	setosa	18.96
5.2	4.1	1.5	0.1	setosa	21.47
5.5	4.2	1.4	0.2	setosa	23.38
4.9	3.1	1.5	0.1	setosa	15.34
5	3.2	1.2	0.2	setosa	16.24
5.5	3.5	1.3	0.2	setosa	19.51
4.9	3.1	1.5	0.1	setosa	15.34
4.4	3	1.3	0.2	setosa	13.46
5.1	3.4	1.5	0.2	setosa	17.64
5	3.5	1.3	0.3	setosa	17.89
4.5	2.3	1.3	0.3	setosa	10.74
4.4	3.2	1.3	0.2	setosa	14.34
5	3.5	1.6	0.6	setosa	18.46
5.1	3.8	1.9	0.4	setosa	20.14
4.8	3	1.4	0.3	setosa	14.82
